epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.3145,1.55867,3.28157,1.47931,0.04942,0.85464,0.04393,0.02073,1.21398,3.06509,1.28536,4e-05,4e-05,4e-05
2,9.89544,1.56072,3.25358,1.49998,0.05464,0.94486,0.06934,0.03899,0.93578,3.02752,1.09971,9.802e-05,9.802e-05,9.802e-05
3,11.4614,1.19455,2.68587,1.1603,0.05754,0.99499,0.73098,0.5057,0.91422,2.60517,0.94432,0.000153664,0.000153664,0.000153664
4,12.7668,1.03274,1.66979,0.99442,0.99601,0.62555,0.96284,0.67945,0.98635,1.97668,0.88953,0.000206932,0.000206932,0.000206932
5,14.337,0.95678,0.9987,0.97344,0.97752,0.90226,0.97292,0.68097,1.01224,1.34332,0.89413,0.000257824,0.000257824,0.000257824
6,15.777,0.9579,0.83697,0.98434,0.98033,0.87432,0.96268,0.68561,1.00828,1.11391,0.89103,0.00030634,0.00030634,0.00030634
7,17.1552,0.94367,0.77254,0.97097,0.95416,0.81203,0.95663,0.67066,1.05858,1.12224,0.9321,0.00035248,0.00035248,0.00035248
8,18.473,0.92124,0.72679,0.94957,0.97036,0.85464,0.95553,0.65815,1.08023,0.99216,0.92615,0.000396244,0.000396244,0.000396244
9,20.1871,0.89026,0.67784,0.94951,0.99247,0.87719,0.94741,0.70538,0.9289,0.93738,0.88968,0.000437632,0.000437632,0.000437632
10,21.5504,0.87447,0.64194,0.93237,0.99165,0.89322,0.96236,0.71398,0.94813,0.96104,0.89073,0.000476644,0.000476644,0.000476644
11,23.0213,0.8435,0.61735,0.92634,0.9944,0.93734,0.97532,0.73065,0.91638,0.95483,0.88671,0.00051328,0.00051328,0.00051328
12,24.3597,0.85846,0.62261,0.93169,0.99723,0.90341,0.9829,0.75148,0.90394,1.16671,0.89052,0.00054754,0.00054754,0.00054754
13,25.7552,0.853,0.60038,0.9333,0.99456,0.91618,0.97842,0.72017,0.9681,1.12378,0.90534,0.000579424,0.000579424,0.000579424
14,26.9853,0.83729,0.58595,0.92189,0.99459,0.94737,0.98627,0.74871,0.88696,0.9999,0.89782,0.000608932,0.000608932,0.000608932
15,28.2726,0.83943,0.56547,0.91572,0.99205,0.93822,0.98739,0.75957,0.86694,1.12455,0.89039,0.000636064,0.000636064,0.000636064
16,29.6611,0.83779,0.56562,0.92847,0.99213,0.94779,0.98381,0.74688,0.90196,1.08533,0.89991,0.00066082,0.00066082,0.00066082
17,30.8669,0.87411,0.5802,0.92226,0.99472,0.9452,0.98399,0.74331,0.89751,1.15419,0.90979,0.0006832,0.0006832,0.0006832
18,32.0996,0.87357,0.55193,0.92995,0.99212,0.94617,0.98445,0.75371,0.87318,1.16406,0.88634,0.000703204,0.000703204,0.000703204
19,33.2907,0.83326,0.55292,0.9132,0.98807,0.95238,0.98483,0.75772,0.87443,1.12849,0.88362,0.000720832,0.000720832,0.000720832
20,34.6242,0.86335,0.54669,0.92212,0.98911,0.96241,0.9927,0.76259,0.83795,0.97077,0.88608,0.000736084,0.000736084,0.000736084
21,36.3186,0.82655,0.53813,0.91624,0.98751,0.96491,0.99313,0.75226,0.87984,0.90257,0.89373,0.00074896,0.00074896,0.00074896
22,37.5383,0.81893,0.52783,0.91947,0.99232,0.97177,0.99351,0.77596,0.82216,0.88993,0.88553,0.00075946,0.00075946,0.00075946
23,38.8917,0.80376,0.51736,0.91229,0.99234,0.97744,0.99335,0.76851,0.84865,0.92642,0.88727,0.000767584,0.000767584,0.000767584
24,40.2261,0.81295,0.50765,0.90715,0.99237,0.9775,0.99395,0.77205,0.84174,0.94365,0.8864,0.000773332,0.000773332,0.000773332
25,41.5145,0.80167,0.50716,0.90739,0.99236,0.97655,0.99408,0.77141,0.83782,0.8927,0.8848,0.000776704,0.000776704,0.000776704
26,42.7524,0.79664,0.50777,0.90592,0.98987,0.97977,0.99405,0.78495,0.79965,0.78941,0.8834,0.0007777,0.0007777,0.0007777
27,44.0607,0.78911,0.49513,0.90641,0.98989,0.98133,0.99413,0.78047,0.80303,0.76924,0.88485,0.00077632,0.00077632,0.00077632
28,45.254,0.78514,0.48092,0.90725,0.98842,0.98747,0.99428,0.77935,0.8232,0.74994,0.88475,0.000772564,0.000772564,0.000772564
29,46.4786,0.77447,0.49005,0.90347,0.98997,0.98985,0.99436,0.77972,0.8293,0.74099,0.88315,0.000766432,0.000766432,0.000766432
30,47.7044,0.76628,0.47508,0.89816,0.98889,0.98997,0.99426,0.78614,0.7941,0.65825,0.8831,0.000757924,0.000757924,0.000757924
31,49.0869,0.77443,0.48966,0.90727,0.9914,0.98997,0.99418,0.78403,0.82109,0.64287,0.90273,0.00074704,0.00074704,0.00074704
32,50.3028,0.78225,0.48962,0.89862,0.99246,0.9896,0.99387,0.78849,0.7944,0.64734,0.88109,0.00073378,0.00073378,0.00073378
33,51.5926,0.79148,0.48139,0.90347,0.99246,0.98977,0.99364,0.78256,0.796,0.68046,0.88076,0.000718144,0.000718144,0.000718144
34,52.8144,0.78339,0.4809,0.89908,0.98951,0.98246,0.9937,0.78048,0.80251,0.66744,0.88349,0.0006932,0.0006932,0.0006932
35,54.0132,0.77055,0.47666,0.89728,0.98992,0.98425,0.99399,0.78684,0.79482,0.6243,0.887,0.0006536,0.0006536,0.0006536
36,55.4322,0.75146,0.46033,0.89872,0.99248,0.99221,0.99403,0.79522,0.78293,0.52804,0.88271,0.000614,0.000614,0.000614
37,56.6934,0.74302,0.45392,0.89509,0.99248,0.99198,0.99395,0.79473,0.7926,0.52934,0.88435,0.0005744,0.0005744,0.0005744
38,58.1139,0.75329,0.46583,0.90078,0.99194,0.99248,0.99356,0.78894,0.80618,0.55693,0.88897,0.0005348,0.0005348,0.0005348
39,59.3756,0.74453,0.4538,0.89271,0.99154,0.99248,0.99356,0.79823,0.77244,0.55587,0.88334,0.0004952,0.0004952,0.0004952
40,60.676,0.75512,0.4547,0.90009,0.99151,0.98246,0.99311,0.79098,0.79205,0.54872,0.88354,0.0004556,0.0004556,0.0004556
41,68.3639,0.73016,0.55738,0.88401,0.99042,0.97995,0.99326,0.7842,0.81615,0.57338,0.88931,0.000416,0.000416,0.000416
42,69.9507,0.73728,0.51428,0.88249,0.98861,0.97744,0.99033,0.79124,0.78998,0.75272,0.89071,0.0003764,0.0003764,0.0003764
43,71.0871,0.73554,0.51518,0.88556,0.99049,0.97243,0.98492,0.78839,0.79442,0.82686,0.89254,0.0003368,0.0003368,0.0003368
44,72.2533,0.72593,0.51539,0.88094,0.98984,0.9771,0.99374,0.79022,0.78745,0.69874,0.88834,0.0002972,0.0002972,0.0002972
45,73.4129,0.73384,0.47782,0.88013,0.99173,0.97995,0.9937,0.79279,0.77729,0.62576,0.88709,0.0002576,0.0002576,0.0002576
46,74.6024,0.71813,0.46213,0.87336,0.99088,0.98747,0.99364,0.79112,0.7727,0.54286,0.88712,0.000218,0.000218,0.000218
